"MAPINFO_ID","CODIGOPROVINCIA","PROVINCIA","CODIGOCANTON","CANTON","ALTERNOCANTON","ALTERNO","AM","GAM","PCD","PAcueducto_de_empresa_o_coopera","PAcueducto_del_A_y_A","PAcueducto_municipal","PAcueducto_rural_o_comunal__ASA","PNo_Aplica","POtra_fuente__Lluvia__camión_ci","PPozo","PRío_o_quebrada","VAcueducto_de_empresa_o_coopera","VAcueducto_del_A_y_A","VAcueducto_municipal","VAcueducto_rural_o_comunal__ASA","VNo_Aplica","VOtra_fuente__Lluvia__camión_ci","VPozo","VRío_o_quebrada","AASumaAbonadosPotable","AASumaPorcentajeAbonadosPotable","AASumaAbonadosNoPotable","AASumaPorcentajeAbonadosNoPotab","AASumaAbonadosSE","AASumaPorcentajeAbonadosSE","AASumaTotalAbonados","AACloroAbonadosPotable","AACloroAbonadosNoPotable","AACloroSE","AACloroTotal","AANoCloroPotable","AANoCloroNoPotable","AANoCloroSE","AANoCloroTotal","ESumaAbonadosPotable","ESumaPorcentajeAbonadosPotable","ESumaAbonadosNoPotable","ESumaPorcentajeAbonadosNoPotabl","ESumaAbonadosSE","ESumaPorcentajeAbonadosSE","ESumaTotalAbonados","ECloroAbonadosPotable","ECloroAbonadosNoPotable","ECloroSE","ECloroTotal","ENoCloroPotable","ENoCloroNoPotable","ENoCloroSE","ENoCloroTotal","ASumaAbonadosPotable","ASumaPorcentajeAbonadosPotable","ASumaAbonadosNoPotable","ASumaPorcentajeAbonadosNoPotabl","ASumaAbonadosSE","ASumaPorcentajeAbonadosSE","ASumaTotalAbonados","ACloroAbonadosPotable","ACloroAbonadosNoPotable","ACloroSE","ACloroTotal","ANoCloroPotable","ANoCloroNoPotable","ANoCloroSE","ANoCloroTotal","VIVIENDAS","PERSONAS","ViviendaSinTuberia","ViviendaConTuberia","ViviendaNATuberia","PersonaConAccesoTuberia","PersonaSinAccesoTuberia","PersonaNAAccesoTuberia","VivConAlcantarilladoSanitario","VivLetrina","VivNAServicio","VivSinServicio","VivTanSeptico","VivEmisarioRio","PerConAlcantarillado","PerLetrina","PerNAServicio","PerSinServicio","PerTanSeptico","PerEmisarioRio","ViviendasConTanque","ViviendasNATanque","ViviendasSinTanque","PersonasConTanque","PersonasNATanque","PersonasSinTanque","SENARA-litrosConsumo humano","SENARA-litrosAgroganadería","SENARAlitrosTuristico","SENARAlitrosIndustrial","SENARAlitrosVariosOSinDeterminar","SENARApozos-ConsumoHumano","SENARA-pozos-AgroGanadería","SENARAPozosTuristico","SENARAPozosIndustrial","SENARA-pozos-Otros","AyALitrosSuperficial","AyALitrosSubterrraneo","AyALitrosSubsuperficial","AsadaLitrosSuperficial","AsadaLitrosSubsuperficial","AsadaLitrosSubterranea"
1,5,"Guanacaste",502,"Nicoya","Nicoya",,FALSE,FALSE,"Guanacaste_Nicoya_Mansion",130,20319,185,24200,17,390,3723,1861,40,6013,57,7133,5,124,1113,558,24260,100,0,0,0,0,24260,24260,0,0,24260,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5903,22.9,1075,4.2,18772,72.9,25750,3369,347,7023,10739,2534,728,11749,15011,15043,50825,461,14577,5,49356,1452,17,1122,1359,5,167,12366,24,3543,4614,17,497,42072,82,1611,13427,13427,5314,17,45494,9512,1801,244,210,660,288,54,10,6,22,45,4,5,1,3,3
2,5,"Guanacaste",503,"Santa Cruz","Santa Cruz",,FALSE,FALSE,"Guanacaste_Santa Cruz_27 De Abril",4,24096,127,25006,55,176,5244,396,2,6987,45,7704,13,76,1710,121,32153,100,0,0,0,0,32153,32153,0,0,32153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21097,60,1256,3.6,12811,36.4,35164,18801,1256,6880,26937,2296,0,5931,8227,16658,55104,654,15991,13,53080,1969,55,1064,1183,13,162,14207,29,3439,3871,55,439,47207,93,1902,14743,14743,5668,55,49381,10059,2436,1257,151,1127,340,69,49,7,31,0,26,0,0,66,4
11,5,"Guanacaste",501,"Liberia","Liberia",,FALSE,FALSE,"Guanacaste_Liberia_Cañas Dulces",17,56854,125,2754,873,391,1536,437,5,15167,31,700,19,102,447,125,69004,100,0,0,0,0,69004,69004,0,0,69004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2048,59.4,735,21.3,665,19.3,3448,1352,700,665,2717,696,35,0,731,16596,62987,778,15799,19,59193,2921,873,2533,974,19,94,12944,32,8681,3954,873,299,49081,99,884,15693,15693,3036,873,59078,6836,3435,362,963,488,106,50,1,19,12,155,24,8,7,7,0
4,5,"Guanacaste",505,"Carrillo","Carrillo",,FALSE,FALSE,"Guanacaste_Carrillo_Sardinal",5,25346,496,8329,58,168,2694,26,1,6912,133,2270,10,58,761,6,30723,100,0,0,0,0,30723,30723,0,0,30723,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4525,52.5,626,7.3,3462,40.2,8613,2650,0,2026,4676,1875,626,1436,3937,10151,37122,365,9776,10,35770,1294,58,138,778,10,102,9118,5,456,3016,58,276,33294,22,912,9229,9229,2984,58,34080,5530,4063,328,171,1334,154,106,13,7,33,0,30,0,0,0,0
5,5,"Guanacaste",506,"Cañas","Cañas",,FALSE,FALSE,"Guanacaste_Cañas_Palmira",,18429,50,5774,59,114,1520,255,,5009,10,1614,6,39,422,78,19412,100,0,0,0,0,19412,19412,0,0,19412,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3192,64.3,381,7.7,1391,28,4964,2765,0,312,3077,427,381,1079,1887,7178,26201,163,7009,6,25584,558,59,1254,221,6,51,5635,11,4068,802,59,141,21080,51,561,6611,6611,1889,59,24253,1281,339,0,194,43,40,7,0,3,2,0,10,0,0,10,0
8,5,"Guanacaste",509,"Nandayure","Nandayure",,FALSE,FALSE,"Guanacaste_Nandayure_Santa Rita",6,549,2710,5719,33,25,1115,964,2,161,825,1685,3,13,341,280,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3307,100,0,0,0,0,3307,0,0,0,0,3307,0,0,3307,2342,33.6,1151,16.5,3468,49.8,6961,0,0,0,0,2342,1151,3468,6961,3310,11121,105,3202,3,10781,307,33,0,273,3,32,3000,2,0,903,33,68,10111,6,546,2761,2761,1787,33,9301,1857,1576,131,0,225,77,35,0,0,6,0,0,0,0,0,4
7,5,"Guanacaste",508,"Tilarán","Tilarán",,FALSE,FALSE,"Guanacaste_Tilarán_Quebrada Grande",81,8734,32,9156,48,416,226,947,25,2674,10,2805,6,128,75,301,11844,100,0,0,0,0,11844,11844,0,0,11844,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6479,53.6,4089,33.8,1521,12.6,12089,5476,0,1451,6927,1003,4089,70,5162,6024,19640,193,5825,6,18954,638,48,0,104,6,18,5889,7,0,345,48,52,19170,25,500,5518,5518,1611,48,17981,973,0,0,73,67,8,0,0,1,8,10,5,63,0,7,0
3,5,"Guanacaste",504,"Bagaces","Bagaces",,FALSE,FALSE,"Guanacaste_Bagaces_Mogote",2,6416,19,10868,10,221,1655,345,1,1843,5,3105,2,68,483,110,6077,100,0,0,0,0,6077,6077,0,0,6077,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6073,39.5,2834,18.4,6465,42.1,15372,472,0,5887,6359,5601,2834,578,9013,5617,19536,202,5413,2,18884,642,10,0,348,2,52,5211,4,0,1311,10,141,18058,16,266,5349,5349,870,10,18656,1779,596,204,207,51,29,11,3,3,7,0,6,20,0,4,3
10,5,"Guanacaste",511,"Hojancha","Hojancha",,FALSE,FALSE,"Guanacaste_Hojancha_Monte Romo",,2629,89,2923,,64,692,800,,739,18,833,,20,211,207,3589,100,0,0,0,0,3589,3589,0,0,3589,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,658,14,73,1.6,3971,84.5,4702,385,0,0,385,273,73,3971,4317,2028,7197,66,1962,0,6981,216,0,0,147,0,17,1862,2,0,565,0,59,6565,8,361,1667,1667,1251,0,5946,774,73,0,26,54,24,2,4,2,7,0,4,1,0,0,9
9,5,"Guanacaste",510,"La Cruz","La Cruz",,FALSE,FALSE,"Guanacaste_La Cruz_Santa Cecilia",28,6808,1112,8321,6,358,1733,815,8,1718,267,2011,5,93,437,198,4897,100,0,0,0,0,4897,4897,0,0,4897,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,770,8.6,2823,31.5,5366,59.9,8959,770,1629,4449,6848,0,1194,917,2111,4737,19181,514,4218,5,17116,2059,6,0,1130,5,86,3509,7,0,4858,6,260,14035,22,414,4318,4318,1638,6,17537,551,53,83,5,206,15,1,0,1,6,0,8,3,3,4,2
6,5,"Guanacaste",507,"Abangares","Abangares",,FALSE,FALSE,"Guanacaste_Abangares_Sierra",5,4408,6564,5306,22,188,707,839,1,1219,1958,1561,6,71,225,276,2305,100,0,0,0,0,2305,2305,0,0,2305,0,0,0,0,0,0,8394,100,0,0,8394,0,8394,0,8394,0,0,0,0,2194,25.5,5217,60.6,1200,13.9,8611,802,0,1200,2002,1392,5217,0,6609,5317,18039,190,5121,6,17459,558,22,0,164,6,96,5045,6,0,516,22,262,17219,20,846,4465,4465,2837,22,15180,487,823,0,201,70,10,16,11,3,1,0,1,0,1,1,3
